hari,id_dosen,id_jadwal,id_kelas,id_matkul,id_waktu,jam_akhir,jam_mulai,prodi,ruangan,semester,sks
"2","22","701","1","153","1","560","480","3","11","5","2"
"2","22","703","1","155","1","640","560","3","11","5","2"
"2","23","694","1","148","1","720","640","3","11","5","2"
"2","33","622","1","34","2","1200","1080","1","3","5","3"
"2","33","629","1","40","2","1320","1200","1","3","5","3"
"2","32","731","2","132","2","1120","1080","3","14","3","1"
"2","21","733","2","134","2","1200","1120","3","14","3","2"
"2","37","766","2","130","2","1240","1200","3","14","3","1"
"2","5","735","2","136","2","1320","1240","3","14","3","2"
"1","33","611","1","20","2","1160","1080","1","4","3","2"
"1","25","616","1","23","2","1280","1160","1","4","3","3"
"2","59","721","1","119","2","1160","1080","3","9","1","2"
"2","19","720","1","118","2","1240","1160","3","9","1","2"
"2","35","714","1","112","2","1320","1240","3","9","1","2"
"2","34","845","1","234","1","600","480","4","17","7","3"
"2","6","838","1","232","1","720","600","4","17","7","3"
"4","22","687","1","133","1","560","480","3","8","3","2"
"4","32","686","1","132","1","600","560","3","8","3","1"
"1","56","895","1","287","2","1200","1080","5","25","7","3"
"4","43","867","1","258","2","1240","1080","5","18","3","4"
"1","56","889","1","277","2","1200","1080","5","24","5","3"
"3","5","730","1","137","2","1200","1080","3","8","3","3"
"3","32","728","1","135","2","1320","1200","3","8","3","3"
"3","7","841","1","233","1","600","480","4","17","7","3"
"3","62","849","1","235","1","720","600","4","17","7","3"
"2","33","613","2","21","2","1200","1080","1","2","3","3"
"2","25","619","2","23","2","1320","1200","1","2","3","3"
"3","3","654","1","69","1","560","480","2","7","1","2"
"3","20","652","1","67","1","600","560","2","7","1","1"
"3","48","653","1","68","1","680","600","2","7","1","2"
"3","27","649","1","64","1","720","680","2","7","1","1"
"2","9","757","2","150","2","1160","1080","3","15","5","2"
"2","22","749","2","153","2","1240","1160","3","15","5","2"
"2","23","754","2","147","2","1320","1240","3","15","5","2"
"5","21","876","1","262","2","1200","1080","5","18","3","3"
"3","53","820","2","218","2","1200","1080","4","21","5","3"
"3","35","819","2","217","2","1280","1200","4","21","5","2"
"1","36","832","1","230","1","600","480","4","17","7","3"
"1","27","835","1","231","1","720","600","4","17","7","3"
"3","27","638","1","63","2","1160","1080","2","7","1","2"
"3","3","644","1","69","2","1240","1160","2","7","1","2"
"3","27","639","1","64","2","1280","1240","2","7","1","1"
"4","58","679","1","117","1","560","480","3","9","1","2"
"4","19","680","1","118","1","640","560","3","9","1","2"
"2","59","681","1","119","1","560","480","3","9","1","2"
"2","3","677","1","115","1","680","560","3","9","1","3"
"3","34","846","1","234","2","1200","1080","4","17","7","3"
"3","62","847","1","235","2","1320","1200","4","17","7","3"
"4","9","742","1","152","2","1160","1080","3","11","5","2"
"4","5","741","1","151","2","1240","1160","3","11","5","2"
"3","14","826","1","220","1","600","480","4","22","5","3"
"3","52","814","1","216","1","720","600","4","22","5","3"
